event_id,tower_id,event_type,severity,start_ts,end_ts,affected_subscribers_est,region,state,latitude,longitude,vendor,resolved,root_cause,created_at
ad440c1a-fc66-4581-ae63-f8b2e678442e,TWR-10205,interference_detected,P3,2022-12-02 13:53:55,2022-12-04 11:53:22,33479,REGION-12,NY,25.061169,-107.577301,Samsung,1,capacity_exceeded,2022-12-02 13:53:55
8c3904d1-6129-4f2f-9386-8b6309465781,TWR-31465,fiber_cut,P4,2022-06-08 20:14:39,2022-06-09 23:39:04,36619,REGION-1,VA,32.762024,-76.376883,Nokia,1,capacity_exceeded,2022-06-08 20:14:39
2932f71f-522a-4049-b034-9bea5352abf2,TWR-22156,capacity_alert,P2,2024-01-01 05:46:00,,5000,REGION-14,MI,44.125313,-94.794107,Nokia,1,vandalism,2024-01-01 05:46:00
519f7036-36fd-493b-8ad2-e337c7c2260c,TWR-38266,congestion,P3,2023-04-25 18:59:14,,23595,REGION-5,NC,35.335557,-81.711557,Huawei,1,weather,2023-04-25 18:59:14
59765e73-fc02-4a79-9f7b-72da894c7ebe,TWR-36100,fiber_cut,INFO,2023-08-29 15:19:39,2023-08-31 03:13:38,13369,REGION-17,CA,29.923607,-122.432499,Huawei,1,software_bug,2023-08-29 15:19:39
1ce6658a-db14-4677-a330-977ac6856d5d,TWR-73242,capacity_alert,P1,2024-12-06 13:59:58,,7608,REGION-2,AZ,30.661697,-83.394538,,1,hardware_failure,2024-12-06 13:59:58
87821c8c-1c7c-462c-b2c2-426593742719,TWR-47667,tower_degraded,P2,2024-08-11 14:52:33,2024-08-13 12:53:08,34302,REGION-9,CA,40.866857,-118.484084,Nokia,1,unknown,2024-08-11 14:52:33
84d92a32-2034-44fc-8550-d31e0b3a1568,TWR-53369,capacity_alert,P2,2024-04-26 18:22:46,,45432,REGION-19,IL,25.966574,-97.095495,Samsung,0,,2024-04-26 18:22:46
098c1f10-4490-4d54-b974-56b02e36ee75,TWR-47700,cell_outage,INFO,2023-06-11 07:17:38,2023-06-12 21:21:28,24088,REGION-5,NC,35.833832,-92.02377,,1,unknown,2023-06-11 07:17:38
a2897836-9eda-4c45-99f0-7f4476c2c4e8,TWR-49599,congestion,INFO,2023-12-15 03:37:00,,33513,REGION-20,GA,47.70309,-123.387177,Ericsson,1,unknown,2023-12-15 03:37:00
35007064-00e3-4a60-91df-b7106e7ba09c,TWR-94689,interference_detected,INFO,2024-08-28 00:51:34,2024-08-29 01:31:31,23456,REGION-10,AZ,29.215411,-86.662964,Samsung,1,,2024-08-28 00:51:34
21515c42-0e26-4670-ae4f-0a595645dc6c,TWR-40613,cell_outage,P2,2023-11-15 22:55:39,2023-11-16 20:07:47,41822,REGION-1,NY,29.571942,-75.989602,ZTE,1,vandalism,2023-11-15 22:55:39
2a30bd21-1825-4c60-818f-3c1ee5c21794,TWR-44675,capacity_alert,INFO,2023-05-07 00:42:50,,5786,REGION-12,NC,25.559556,-79.950095,Huawei,0,,2023-05-07 00:42:50
2b73b78a-f81b-48a7-b2bb-e4ef454f2a8c,TWR-63269,power_failure,P4,2022-01-18 16:04:10,2022-01-18 16:34:10,15226,REGION-1,TX,27.095838,-82.744997,ZTE,1,weather,2022-01-18 16:04:10
30ce80c5-9890-4342-b845-d39343dd2d6f,TWR-69473,cell_outage,P3,2023-08-31 22:04:56,2023-08-31 22:57:59,11697,REGION-19,TX,45.56951,-115.298102,Nokia,1,unknown,2023-08-31 22:04:56
04c9f498-c7b8-4db7-9350-c622a810503c,TWR-69473,tower_degraded,P3,2023-07-18 10:19:09,2023-07-19 04:26:26,35074,REGION-6,NJ,39.310296,-69.067436,,1,vandalism,2023-07-18 10:19:09
9d057a17-a83b-4a66-8ef9-e2e4a1fcdfb9,TWR-44600,restored,P1,2022-04-08 19:15:26,2022-04-10 06:00:12,593,REGION-18,MI,33.203278,-110.848469,,1,software_bug,2022-04-08 19:15:26
e7bd886f-e566-4f92-9342-0ca5103eb6f8,TWR-15952,interference_detected,P2,2023-04-07 06:28:16,2023-04-08 14:42:23,14158,REGION-13,NY,33.986952,-88.101266,Samsung,1,software_bug,2023-04-07 06:28:16
2a8aaa1c-2a71-4b96-befd-b76dd23f1262,TWR-73242,interference_detected,P2,2023-01-30 12:38:53,2023-01-30 14:13:30,22733,REGION-16,VA,48.728708,-115.115435,Nokia,1,,2023-01-30 12:38:53
0fce3c0e-a3f8-4b8f-b39d-d6fc4cdcbd5f,TWR-18564,cell_outage,INFO,2024-12-24 16:01:55,2024-12-24 23:07:41,9502,REGION-11,AZ,25.367895,-94.562563,Huawei,1,vandalism,2024-12-24 16:01:55
d0ef003c-8fa8-4b46-a7d2-b6de70f13ea8,TWR-66346,maintenance_window,P4,2024-11-27 05:35:49,2024-11-28 10:40:58,28593,REGION-1,OH,30.783265,-96.60148,ZTE,0,,2024-11-27 05:35:49
ecbdeb83-e543-4322-9f19-0371e0b6f949,TWR-57739,power_failure,P2,2024-08-05 23:12:37,2024-08-06 15:58:36,44686,REGION-8,MA,29.979529,-81.84743,,0,,2024-08-05 23:12:37
8cd62994-2244-4679-b479-48c4ea1ba719,TWR-20384,handoff_failure,INFO,2022-02-09 07:02:49,2022-02-10 12:23:18,28498,REGION-1,NY,31.508763,-67.828295,ZTE,1,config_error,2022-02-09 07:02:49
0dc1be31-6538-4398-ac87-48ac9febb233,TWR-29887,tower_degraded,P2,2023-02-17 06:36:11,2023-02-17 08:34:00,28904,REGION-11,OH,28.212586,-117.262569,Samsung,0,,2023-02-17 06:36:11
